author id,conversation_id,created_at,tweet_id,tweet,source,geo
896400632,1534181705891860482,2022-06-07 14:33:17+00:00,1534181705891860482,"@PalmerReport 

#Midterms2022 

#AmericaDeservesBetter

Troubling that ""Americans"" can't PROTEST slaughters of school-children, but

""Offend"" BLM, or threaten overturning ROE v WADE

And, there'll be UGLY VIOLENCE &amp; ""UNREST"", that won't quit!

USA can't survive ""foundation"" of BS",Twitter Web App, 
2773842067,1534181684924624896,2022-06-07 14:33:12+00:00,1534181684924624896,RT @PramilaJayapal: An extremist Supreme Court is poised to strip away abortion rights — and the rights of LGBTQ+ folks could be next if we…,Twitter Web App, 
1496911492201000961,1534181672559812608,2022-06-07 14:33:09+00:00,1534181672559812608,"RT @BinGanzBrav: Es gibt ja immer noch viel viel zu viele Menschen, die denken, was geht uns die Situation in den USA an? Was geht uns Roe…",Twitter for Android, 
1500465218606059522,1534181668248031233,2022-06-07 14:33:08+00:00,1534181668248031233,"RT @RepJayapal: 57 years ago today, the Supreme Court ensured access to birth control citing the due process clause of the 14th Amendment.…",Twitter for iPhone, 
822609732343046145,1534181645670047747,2022-06-07 14:33:02+00:00,1534181645670047747,RT @PramilaJayapal: An extremist Supreme Court is poised to strip away abortion rights — and the rights of LGBTQ+ folks could be next if we…,Twitter for iPhone, 
1376197618049675271,1534181617496907777,2022-06-07 14:32:55+00:00,1534181617496907777,"RT @KarenAttiah: Between the NYT op-ed endorsing suffering in marriage, to Roe V. Wade being overturned, the glee over the supposed end of…",Twitter for iPhone, 
712816274640777216,1534181606767808514,2022-06-07 14:32:53+00:00,1534181606767808514,"RT @RepJayapal: 57 years ago today, the Supreme Court ensured access to birth control citing the due process clause of the 14th Amendment.…",Twitter Web App, 
117564531,1534181594390487040,2022-06-07 14:32:50+00:00,1534181594390487040,"RT @RepJayapal: 57 years ago today, the Supreme Court ensured access to birth control citing the due process clause of the 14th Amendment.…",Twitter for Android, 
41521691,1534181579207081988,2022-06-07 14:32:46+00:00,1534181579207081988,"RT @MalloryMcMorrow: To be very clear, your Democratic legislators are NOT a part of this lawsuit and the GOP majority does not speak for u…",Twitter for iPhone, 
1117545887155146753,1534181506070872064,2022-06-07 14:32:29+00:00,1534181506070872064,"RT @RepJayapal: 57 years ago today, the Supreme Court ensured access to birth control citing the due process clause of the 14th Amendment.…",Twitter for iPad, 
22550341,1534181499058147328,2022-06-07 14:32:27+00:00,1534181499058147328,"RT @lisatozzi: ""It was not only an important and relevant and timely story, but it was also just a pretty great, riveting cloak-and-dagger…",Twitter for Android, 
23992874,1534181497896374272,2022-06-07 14:32:27+00:00,1534181497896374272,"RT @RepJayapal: 57 years ago today, the Supreme Court ensured access to birth control citing the due process clause of the 14th Amendment.…",Twitter Web App, 
1048228918581497856,1534181488127877120,2022-06-07 14:32:25+00:00,1534181488127877120,RT @RyanShead: People of Praise will now influence a Supreme Court ruling on Roe v Wade because Amy Coney Barrett believes women should do…,Twitter for iPad, 
2480289914,1534181450718773250,2022-06-07 14:32:16+00:00,1534181450718773250,"RT @RepJayapal: 57 years ago today, the Supreme Court ensured access to birth control citing the due process clause of the 14th Amendment.…",Twitter for iPhone, 
1380684898202095616,1534181440983683072,2022-06-07 14:32:13+00:00,1534181440983683072,"FIRST: Brett Kavanaugh denied multiple sexual assault accusations against him, which we now know were never fully investigated.
THEN: He voted to overturn Roe v. Wade, even though he said he believed it to be precedent during his confirmation hearing!",Twitter for iPhone,3b77caf94bfc81fe
2480289914,1534181432335138816,2022-06-07 14:32:11+00:00,1534181432335138816,RT @PramilaJayapal: An extremist Supreme Court is poised to strip away abortion rights — and the rights of LGBTQ+ folks could be next if we…,Twitter for iPhone, 
1049787267487813633,1534181399275704320,2022-06-07 14:32:03+00:00,1534181399275704320,"SCOTUS Adds Opinions On WEDNESDAY-Potentially including Roe VS Wade-#GirdUp-Supreme Court announces extra day of opinions on WEDNESDAY-33 Decisions-Including potentially overturning Roe VS Wade-Left 2 announce B4 end of the mid-July term. 
https://t.co/MpZlR4UqVs via @MailOnline",Twitter Web App, 
71807533,1534181388572061696,2022-06-07 14:32:01+00:00,1534181388572061696,RT @PramilaJayapal: An extremist Supreme Court is poised to strip away abortion rights — and the rights of LGBTQ+ folks could be next if we…,Twitter for iPhone, 
1370433114,1534181385736441856,2022-06-07 14:32:00+00:00,1534181385736441856,This Chicagoan will be one of the most important figures in the abortion-rights movement after Roe https://t.co/PH2s9ZRMjI,Buffer, 
22260999,1534181385069547522,2022-06-07 14:32:00+00:00,1534181385069547522,"""It was not only an important and relevant and timely story, but it was also just a pretty great, riveting cloak-and-dagger story.""  I spoke with the directors of  #TheJanesHBO  about this all-too-relevant doc: https://t.co/RQHz6e8Ack",Twitter Web App, 
966061989377187840,1534181383505051649,2022-06-07 14:32:00+00:00,1534181383505051649,RT @PramilaJayapal: An extremist Supreme Court is poised to strip away abortion rights — and the rights of LGBTQ+ folks could be next if we…,Twitter for iPad, 
953411978,1534181320401768448,2022-06-07 14:31:45+00:00,1534181320401768448,RT @RyanShead: People of Praise will now influence a Supreme Court ruling on Roe v Wade because Amy Coney Barrett believes women should do…,Twitter for iPhone, 
822609732343046145,1534181308120895488,2022-06-07 14:31:42+00:00,1534181308120895488,"RT @RepJayapal: 57 years ago today, the Supreme Court ensured access to birth control citing the due process clause of the 14th Amendment.…",Twitter for iPhone, 
4481687056,1534181246343041028,2022-06-07 14:31:27+00:00,1534181246343041028,RT @RepRaskin: Honored to speak to graduating 8th graders at Silver Creek Middle! These politically savvy and engaged students shared thoug…,Twitter for iPhone, 
1024657459984490496,1534181240865075200,2022-06-07 14:31:26+00:00,1534181240865075200,RT @RepRaskin: Honored to speak to graduating 8th graders at Silver Creek Middle! These politically savvy and engaged students shared thoug…,Twitter Web App, 
